# BUSCO version is: 5.3.2 
# The lineage dataset is: bacteria_odb10 (Creation date: 2020-03-06, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
837522at2	Complete	Ga0485799_0060	43716	45257	-	655.6	408	https://www.orthodb.org/v10?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	Ga0485799_0109	12640	13545	+	150.1	185	https://www.orthodb.org/v10?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	Ga0485799_0016	14040	15068	-	422.9	272	https://www.orthodb.org/v10?query=874197at2	Holliday junction DNA helicase RuvB
923547at2	Duplicated	Ga0485799_0072	1084	2178	-	448.6	308	https://www.orthodb.org/v10?query=923547at2	phosphoribosylformylglycinamidine cyclo-ligase
923547at2	Duplicated	Ga0485799_0706	3389	4384	-	400.1	312	https://www.orthodb.org/v10?query=923547at2	phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	Ga0485799_0013	33148	34425	-	667.6	417	https://www.orthodb.org/v10?query=932854at2	phosphoribosylamine--glycine ligase
932993at2	Complete	Ga0485799_0011	50486	51787	-	71.8	283	https://www.orthodb.org/v10?query=932993at2	trigger factor
961486at2	Duplicated	Ga0485799_0001	98381	99199	+	231.7	172	https://www.orthodb.org/v10?query=961486at2	Ribosomal protein L2
961486at2	Duplicated	Ga0485799_0398	8218	9045	-	199.1	197	https://www.orthodb.org/v10?query=961486at2	Ribosomal protein L2
981870at2	Duplicated	Ga0485799_0049	27331	28401	+	326.4	261	https://www.orthodb.org/v10?query=981870at2	chorismate synthase
981870at2	Duplicated	Ga0485799_0495	6074	7147	-	295.6	258	https://www.orthodb.org/v10?query=981870at2	chorismate synthase
984717at2	Complete	Ga0485799_0313	3863	4759	-	229.0	224	https://www.orthodb.org/v10?query=984717at2	GTPase Era
1009041at2	Complete	Ga0485799_0109	14622	15803	+	249.0	217	https://www.orthodb.org/v10?query=1009041at2	cell division protein FtsZ
1024388at2	Complete	Ga0485799_0285	8063	9223	-	447.8	307	https://www.orthodb.org/v10?query=1024388at2	methionine adenosyltransferase
1036075at2	Missing
1043239at2	Duplicated	Ga0485799_0237	17682	18413	-	152.9	153	https://www.orthodb.org/v10?query=1043239at2	Uridylate kinase
1043239at2	Duplicated	Ga0485799_0831	811	1518	+	134.3	143	https://www.orthodb.org/v10?query=1043239at2	Uridylate kinase
1049662at2	Complete	Ga0485799_0052	27635	29173	-	610.1	437	https://www.orthodb.org/v10?query=1049662at2	Bifunctional purine biosynthesis protein PurH
1054741at2	Complete	Ga0485799_0147	7641	8729	-	436.9	326	https://www.orthodb.org/v10?query=1054741at2	tRNA 2-thiouridine(34) synthase MnmA
1069591at2	Complete	Ga0485799_0028	34051	35007	+	161.7	188	https://www.orthodb.org/v10?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	Ga0485799_0081	6933	8627	-	305.2	409	https://www.orthodb.org/v10?query=1074831at2	DNA repair protein RecN
1080436at2	Duplicated	Ga0485799_0013	58109	59167	-	380.2	263	https://www.orthodb.org/v10?query=1080436at2	Protein RecA
1080436at2	Duplicated	Ga0485799_0740	3214	4233	+	377.2	260	https://www.orthodb.org/v10?query=1080436at2	Protein RecA
1093223at2	Complete	Ga0485799_0101	23961	25310	+	324.1	352	https://www.orthodb.org/v10?query=1093223at2	UDP-N-acetylmuramoylalanine-D-glutamate ligase
1132353at2	Duplicated	Ga0485799_0001	99974	100609	+	208.4	160	https://www.orthodb.org/v10?query=1132353at2	K Homology domain
1132353at2	Duplicated	Ga0485799_0398	6898	7599	-	184.0	160	https://www.orthodb.org/v10?query=1132353at2	K Homology domain
1151822at2	Complete	Ga0485799_0073	18337	19422	-	287.4	263	https://www.orthodb.org/v10?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	Ga0485799_0126	15275	16174	-	117.5	125	https://www.orthodb.org/v10?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Duplicated	Ga0485799_0338	11338	11958	+	201.3	162	https://www.orthodb.org/v10?query=1211060at2	30S ribosomal protein S4
1211060at2	Duplicated	Ga0485799_0572	755	1381	+	187.5	163	https://www.orthodb.org/v10?query=1211060at2	30S ribosomal protein S4
1257362at2	Complete	Ga0485799_0200	11495	12499	+	250.5	234	https://www.orthodb.org/v10?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	Ga0485799_0008	12255	13007	+	330.0	246	https://www.orthodb.org/v10?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	Ga0485799_0001	96800	97453	+	175.0	160	https://www.orthodb.org/v10?query=1270636at2	50S ribosomal protein L3
1272633at2	Duplicated	Ga0485799_0073	22560	23489	-	132.1	161	https://www.orthodb.org/v10?query=1272633at2	16S rRNA (cytosine(1402)-N(4))-methyltransferase
1272633at2	Duplicated	Ga0485799_0602	1150	2055	+	113.8	163	https://www.orthodb.org/v10?query=1272633at2	16S rRNA (cytosine(1402)-N(4))-methyltransferase
1346419at2	Complete	Ga0485799_0211	13732	14952	-	226.0	295	https://www.orthodb.org/v10?query=1346419at2	phosphopantothenoylcysteine decarboxylase
1395197at2	Duplicated	Ga0485799_0237	12067	13401	-	127.0	180	https://www.orthodb.org/v10?query=1395197at2	Zinc metalloprotease
1395197at2	Duplicated	Ga0485799_0514	4009	5055	+	120.9	166	https://www.orthodb.org/v10?query=1395197at2	Zinc metalloprotease
1398618at2	Duplicated	Ga0485799_0338	5493	6035	+	146.1	137	https://www.orthodb.org/v10?query=1398618at2	50S ribosomal protein L6
1398618at2	Duplicated	Ga0485799_0398	3702	4235	-	135.1	137	https://www.orthodb.org/v10?query=1398618at2	50S ribosomal protein L6
1419877at2	Complete	Ga0485799_0077	28382	29398	+	281.0	256	https://www.orthodb.org/v10?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	Ga0485799_0338	4215	4757	+	218.1	141	https://www.orthodb.org/v10?query=1456375at2	50S ribosomal protein L5
1470978at2	Complete	Ga0485799_0212	7665	8189	-	88.5	106	https://www.orthodb.org/v10?query=1470978at2	50S ribosomal protein L10
1490892at2	Complete	Ga0485799_0083	22442	23170	+	47.6	93	https://www.orthodb.org/v10?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Duplicated	Ga0485799_0065	3716	4369	-	140.5	129	https://www.orthodb.org/v10?query=1491686at2	adenylate kinase
1491686at2	Duplicated	Ga0485799_0903	2108	2755	+	139.2	129	https://www.orthodb.org/v10?query=1491686at2	adenylate kinase
1497415at2	Complete	Ga0485799_0111	21811	22296	+	41.1	56	https://www.orthodb.org/v10?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Duplicated	Ga0485799_0316	1052	1666	+	260.2	187	https://www.orthodb.org/v10?query=1502854at2	guanylate kinase
1502854at2	Duplicated	Ga0485799_0317	12481	13107	+	228.3	185	https://www.orthodb.org/v10?query=1502854at2	guanylate kinase
1504821at2	Complete	Ga0485799_0036	48670	49587	-	196.3	216	https://www.orthodb.org/v10?query=1504821at2	Riboflavin biosynthesis protein
1505038at2	Duplicated	Ga0485799_0338	6592	7107	+	210.1	147	https://www.orthodb.org/v10?query=1505038at2	30S ribosomal protein S5
1505038at2	Duplicated	Ga0485799_0398	2878	3321	-	192.5	130	https://www.orthodb.org/v10?query=1505038at2	30S ribosomal protein S5
1540940at2	Duplicated	Ga0485799_0001	93576	94046	+	195.7	133	https://www.orthodb.org/v10?query=1540940at2	30S ribosomal protein S7
1540940at2	Duplicated	Ga0485799_0757	2962	3429	-	194.0	132	https://www.orthodb.org/v10?query=1540940at2	30S ribosomal protein S7
1567535at2	Complete	Ga0485799_0338	8870	10198	+	352.1	304	https://www.orthodb.org/v10?query=1567535at2	Protein translocase subunit SecY
1572673at2	Duplicated	Ga0485799_0001	97470	98081	+	112.9	98	https://www.orthodb.org/v10?query=1572673at2	50S ribosomal protein L4
1572673at2	Duplicated	Ga0485799_0398	9350	9952	-	96.1	91	https://www.orthodb.org/v10?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	Ga0485799_0311	7452	7880	-	130.3	138	https://www.orthodb.org/v10?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	Ga0485799_1150	159	758	+	39.0	75	https://www.orthodb.org/v10?query=1590629at2	Ribosomal RNA small subunit methyltransferase G
1592033at2	Complete	Ga0485799_0028	35443	36720	+	492.1	379	https://www.orthodb.org/v10?query=1592033at2	GTPase HflX
1595498at2	Complete	Ga0485799_0419	3867	4316	-	36.3	37	https://www.orthodb.org/v10?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Duplicated	Ga0485799_0341	13088	13840	+	264.6	187	https://www.orthodb.org/v10?query=1623045at2	30S ribosomal protein S2
1623045at2	Duplicated	Ga0485799_0317	9168	9953	+	242.7	185	https://www.orthodb.org/v10?query=1623045at2	30S ribosomal protein S2
1661836at2	Complete	Ga0485799_0375	5362	5937	+	79.2	145	https://www.orthodb.org/v10?query=1661836at2	recombination protein RecR
1666043at2	Complete	Ga0485799_0001	99630	99962	+	112.4	85	https://www.orthodb.org/v10?query=1666043at2	50S ribosomal protein L22
1671455at2	Duplicated	Ga0485799_0212	8391	9080	-	213.5	161	https://www.orthodb.org/v10?query=1671455at2	50S ribosomal protein L1
1671455at2	Duplicated	Ga0485799_0204	16144	16836	-	210.1	164	https://www.orthodb.org/v10?query=1671455at2	50S ribosomal protein L1
1674344at2	Complete	Ga0485799_0237	17119	17685	-	153.2	134	https://www.orthodb.org/v10?query=1674344at2	ribosome recycling factor
1676462at2	Duplicated	Ga0485799_0054	23616	24173	-	135.0	115	https://www.orthodb.org/v10?query=1676462at2	Peptidyl-tRNA hydrolase
1676462at2	Duplicated	Ga0485799_1048	1612	2100	+	133.4	107	https://www.orthodb.org/v10?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	Ga0485799_0338	5085	5477	+	200.8	129	https://www.orthodb.org/v10?query=1692188at2	30S ribosomal protein S8
1698718at2	Duplicated	Ga0485799_0111	23279	23644	+	125.4	88	https://www.orthodb.org/v10?query=1698718at2	50S ribosomal protein L19
1698718at2	Duplicated	Ga0485799_0496	2745	3101	-	112.9	88	https://www.orthodb.org/v10?query=1698718at2	50S ribosomal protein L19
1701531at2	Complete	Ga0485799_0060	41045	41908	-	171.3	147	https://www.orthodb.org/v10?query=1701531at2	ATP synthase gamma chain
1702697at2	Duplicated	Ga0485799_0212	9081	9512	-	133.3	104	https://www.orthodb.org/v10?query=1702697at2	50S ribosomal protein L11
1702697at2	Duplicated	Ga0485799_0204	16911	17336	-	113.9	104	https://www.orthodb.org/v10?query=1702697at2	50S ribosomal protein L11
1707228at2	Duplicated	Ga0485799_0001	93177	93551	+	174.1	109	https://www.orthodb.org/v10?query=1707228at2	30S ribosomal protein S12
1707228at2	Duplicated	Ga0485799_0757	3447	3821	-	170.5	100	https://www.orthodb.org/v10?query=1707228at2	30S ribosomal protein S12
1713391at2	Duplicated	Ga0485799_0338	10930	11319	+	152.5	96	https://www.orthodb.org/v10?query=1713391at2	30S ribosomal protein S11
1713391at2	Duplicated	Ga0485799_0572	352	744	+	135.9	96	https://www.orthodb.org/v10?query=1713391at2	30S ribosomal protein S11
1720952at2	Duplicated	Ga0485799_0295	13055	13522	+	193.8	141	https://www.orthodb.org/v10?query=1720952at2	SsrA-binding protein
1720952at2	Duplicated	Ga0485799_0167	8565	9044	+	178.4	140	https://www.orthodb.org/v10?query=1720952at2	SsrA-binding protein
1758685at2	Missing
1760144at2	Complete	Ga0485799_0281	12813	13286	+	92.9	84	https://www.orthodb.org/v10?query=1760144at2	translation initiation factor IF-3
1766414at2	Complete	Ga0485799_0196	20461	20847	+	111.8	98	https://www.orthodb.org/v10?query=1766414at2	30S ribosomal protein S9
1772647at2	Complete	Ga0485799_0338	10558	10917	+	139.0	97	https://www.orthodb.org/v10?query=1772647at2	30S ribosomal protein S13
1776954at2	Complete	Ga0485799_0290	13545	13913	-	67.5	69	https://www.orthodb.org/v10?query=1776954at2	30S ribosomal protein S6
1786618at2	Duplicated	Ga0485799_0001	100777	101190	+	152.5	102	https://www.orthodb.org/v10?query=1786618at2	50S ribosomal protein L16
1786618at2	Duplicated	Ga0485799_0398	6470	6895	-	142.4	100	https://www.orthodb.org/v10?query=1786618at2	50S ribosomal protein L16
1799923at2	Duplicated	Ga0485799_0001	101722	102090	+	131.1	103	https://www.orthodb.org/v10?query=1799923at2	50S ribosomal protein L14
1799923at2	Duplicated	Ga0485799_0398	5656	6027	-	130.4	103	https://www.orthodb.org/v10?query=1799923at2	50S ribosomal protein L14
1822215at2	Complete	Ga0485799_0196	20015	20446	+	163.0	111	https://www.orthodb.org/v10?query=1822215at2	50S ribosomal protein L13
1822695at2	Duplicated	Ga0485799_0204	14959	15336	-	80.6	83	https://www.orthodb.org/v10?query=1822695at2	50S ribosomal protein L7/L12
1822695at2	Duplicated	Ga0485799_0212	7266	7646	-	79.8	86	https://www.orthodb.org/v10?query=1822695at2	50S ribosomal protein L7/L12
1827295at2	Complete	Ga0485799_0649	4678	5127	+	73.1	66	https://www.orthodb.org/v10?query=1827295at2	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
1827334at2	Complete	Ga0485799_0004	75322	75870	+	97.0	96	https://www.orthodb.org/v10?query=1827334at2	methyltransferase
1830156at2	Complete	Ga0485799_0458	2036	2503	+	81.2	76	https://www.orthodb.org/v10?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	Ga0485799_0338	13461	13844	+	100.1	82	https://www.orthodb.org/v10?query=1838961at2	50S ribosomal protein L17
1842956at2	Complete	Ga0485799_0920	1439	2074	-	25.8	71	https://www.orthodb.org/v10?query=1842956at2	biotin--
1844275at2	Complete	Ga0485799_0012	15045	16010	-	176.0	181	https://www.orthodb.org/v10?query=1844275at2	aspartate carbamoyltransferase
1846503at2	Duplicated	Ga0485799_0011	52709	53221	-	129.7	105	https://www.orthodb.org/v10?query=1846503at2	pantetheine-phosphate adenylyltransferase
1846503at2	Duplicated	Ga0485799_0723	721	1209	+	120.9	105	https://www.orthodb.org/v10?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	Ga0485799_0338	7356	7787	+	71.5	76	https://www.orthodb.org/v10?query=1874945at2	50S ribosomal protein L15
1890943at2	Duplicated	Ga0485799_0495	7231	7899	-	71.1	100	https://www.orthodb.org/v10?query=1890943at2	ribonuclease III
1890943at2	Duplicated	Ga0485799_0313	4749	5423	-	69.1	110	https://www.orthodb.org/v10?query=1890943at2	ribonuclease III
1893906at2	Duplicated	Ga0485799_0001	99315	99599	+	133.7	71	https://www.orthodb.org/v10?query=1893906at2	30S ribosomal protein S19
1893906at2	Duplicated	Ga0485799_0398	7930	8208	-	127.3	71	https://www.orthodb.org/v10?query=1893906at2	30S ribosomal protein S19
1904463at2	Duplicated	Ga0485799_0155	18333	18605	+	124.6	67	https://www.orthodb.org/v10?query=1904463at2	50S ribosomal protein L27
1904463at2	Duplicated	Ga0485799_0633	1886	2140	-	112.6	66	https://www.orthodb.org/v10?query=1904463at2	50S ribosomal protein L27
1906715at2	Complete	Ga0485799_0081	10720	11460	+	36.6	71	https://www.orthodb.org/v10?query=1906715at2	Protein GrpE
1932144at2	Duplicated	Ga0485799_0281	13645	14001	+	124.1	92	https://www.orthodb.org/v10?query=1932144at2	50S ribosomal protein L20
1932144at2	Duplicated	Ga0485799_0414	5113	5472	-	117.3	92	https://www.orthodb.org/v10?query=1932144at2	50S ribosomal protein L20
1937072at2	Duplicated	Ga0485799_0111	21319	21777	+	107.1	68	https://www.orthodb.org/v10?query=1937072at2	30S ribosomal protein S16
1937072at2	Duplicated	Ga0485799_0363	10450	10683	+	94.4	66	https://www.orthodb.org/v10?query=1937072at2	30S ribosomal protein S16
1937493at2	Complete	Ga0485799_0060	45273	45809	-	137.0	159	https://www.orthodb.org/v10?query=1937493at2	ATP synthase subunit delta
1940575at2	Duplicated	Ga0485799_0290	13260	13493	-	87.2	47	https://www.orthodb.org/v10?query=1940575at2	30S ribosomal protein S18
1940575at2	Duplicated	Ga0485799_0681	1531	1788	-	75.2	46	https://www.orthodb.org/v10?query=1940575at2	30S ribosomal protein S18
1949059at2	Complete	Ga0485799_0633	2151	2450	-	110.9	99	https://www.orthodb.org/v10?query=1949059at2	50S ribosomal protein L21
1959318at2	Duplicated	Ga0485799_0290	12802	13248	-	80.3	104	https://www.orthodb.org/v10?query=1959318at2	Ribosomal protein L9
1959318at2	Duplicated	Ga0485799_0309	11447	11893	+	75.6	100	https://www.orthodb.org/v10?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	Ga0485799_0338	6044	6388	+	131.3	102	https://www.orthodb.org/v10?query=1963491at2	50S ribosomal protein L18
1971380at2	Complete	Ga0485799_0126	16194	16532	-	124.7	109	https://www.orthodb.org/v10?query=1971380at2	ribosome-binding factor A
1978865at2	Complete	Ga0485799_0001	98078	98374	+	105.9	91	https://www.orthodb.org/v10?query=1978865at2	50S ribosomal protein L23
1990141at2	Duplicated	Ga0485799_0967	242	514	+	103.2	65	https://www.orthodb.org/v10?query=1990141at2	30S ribosomal protein S15
1990141at2	Duplicated	Ga0485799_0126	14991	15260	-	99.7	64	https://www.orthodb.org/v10?query=1990141at2	30S ribosomal protein S15
1990650at2	Complete	Ga0485799_0153	12913	13266	+	87.6	78	https://www.orthodb.org/v10?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	Ga0485799_0421	5247	5513	+	68.3	74	https://www.orthodb.org/v10?query=2005443at2	30S ribosomal protein S20
2012682at2	Duplicated	Ga0485799_0001	96303	96614	+	136.2	87	https://www.orthodb.org/v10?query=2012682at2	30S ribosomal protein S10
2012682at2	Duplicated	Ga0485799_0398	10536	10850	-	115.9	87	https://www.orthodb.org/v10?query=2012682at2	30S ribosomal protein S10
2035880at2	Complete	Ga0485799_0001	101386	101655	+	80.9	55	https://www.orthodb.org/v10?query=2035880at2	30S ribosomal protein S17
2040741at2	Complete	Ga0485799_0001	102106	102423	+	56.1	52	https://www.orthodb.org/v10?query=2040741at2	50S ribosomal protein L24
2046660at2	Duplicated	Ga0485799_0414	5574	5771	-	37.0	30	https://www.orthodb.org/v10?query=2046660at2	50S ribosomal protein L35
2046660at2	Duplicated	Ga0485799_0281	13431	13628	+	35.4	33	https://www.orthodb.org/v10?query=2046660at2	50S ribosomal protein L35
2063644at2	Complete	Ga0485799_0001	101190	101393	+	47.4	34	https://www.orthodb.org/v10?query=2063644at2	50S ribosomal protein L29
2066663at2	Duplicated	Ga0485799_0107	30493	30711	-	90.9	56	https://www.orthodb.org/v10?query=2066663at2	translation initiation factor IF-1
2066663at2	Duplicated	Ga0485799_0398	209	427	-	78.1	49	https://www.orthodb.org/v10?query=2066663at2	translation initiation factor IF-1
2075502at2	Complete	Ga0485799_0012	16500	16889	-	48.4	47	https://www.orthodb.org/v10?query=2075502at2	Putative pre-16S rRNA nuclease
